variante,activo,otm_pct,min_iv_rank,stop_mult,max_open,trades,win_rate,pf,pnl,max_dd
Baseline,BTC,0.07,15.0,2.0,3,269,72.11895910780669,0.8069057672424766,-982.7603753441226,74.23650283271917
Baseline,ETH,0.07,15.0,2.0,3,351,68.37606837606837,0.7548571550408476,-1834.062341531351,93.30562121250274
A-Conservadora,BTC,0.1,25.0,3.0,2,240,85.41666666666666,1.1737846631687243,289.15821313763854,23.319863258129498
A-Conservadora,ETH,0.1,25.0,3.0,2,301,76.41196013289037,0.7346010135218664,-993.9893797501352,66.9164140170195
B-SoloStrike,BTC,0.1,15.0,2.0,3,276,78.26086956521739,1.1013326103992893,184.60259398932567,18.41363595271283
B-SoloStrike,ETH,0.1,15.0,2.0,3,450,70.88888888888889,0.7828049160055401,-1027.6404927341819,70.92369362618417
C-SoloFiltroIV,BTC,0.07,30.0,2.0,2,264,73.10606060606061,0.8968020765337156,-508.3575793238804,63.58750000106011
C-SoloFiltroIV,ETH,0.07,30.0,2.0,2,289,67.1280276816609,0.8071627644727681,-1138.1353814291829,79.55637541654345
D-Equilibrada,BTC,0.09,25.0,2.5,2,265,80.37735849056604,1.0452243275723885,118.49125588435845,35.665976448440176
D-Equilibrada,ETH,0.09,25.0,2.5,2,311,72.02572347266882,0.7015590637112934,-1422.6516802888495,85.63433632104464
